?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBbt_0002890>	"nucleus of pedigree TR.a"	
<http://purl.obolibrary.org/obo/WBbt_0008123>		
<http://purl.obolibrary.org/obo/WBbt_0003070>	"nucleus of pedigree V5L.paa"	
<http://purl.obolibrary.org/obo/WBbt_0001331>	"nucleus of pedigree ABplaaapp"	
<http://purl.obolibrary.org/obo/WBbt_0001833>	"nucleus of pedigree Cpaap"	
<http://purl.obolibrary.org/obo/WBbt_0006870>	"part of male gonad that holds mature sperm, made of a total of 12 nuclei."	
<http://purl.obolibrary.org/obo/WBbt_0005986>	"Embryonic cell of pedigree MSpapppap."	
<http://purl.obolibrary.org/obo/WBbt_0001500>	"nucleus of pedigree ABpraapapppp"	
<http://purl.obolibrary.org/obo/WBbt_0002337>	"nucleus of pedigree MSaappppa"	
<http://purl.obolibrary.org/obo/WBbt_0003221>	"nucleus of pedigree P3.aaap"	
<http://purl.obolibrary.org/obo/WBbt_0002128>	"nucleus of pedigree ABarapppapp"	
<http://purl.obolibrary.org/obo/WBbt_0006448>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006315>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003504>	"nucleus of pedigree Z4.aap[p/r]ap[a/d](5R)"	
<http://purl.obolibrary.org/obo/WBbt_0005696>	"nucleus of pedigree Z1.ppappv(5R)"	
<http://purl.obolibrary.org/obo/WBbt_0002394>	"nucleus of pedigree MSpapapp"	
<http://purl.obolibrary.org/obo/WBbt_0005055>	"Inner seminal vesicle cell of pedigree Z1.pppaaap."	
<http://purl.obolibrary.org/obo/WBbt_0001896>	"nucleus of pedigree ABalapppppp"	
<http://purl.obolibrary.org/obo/WBbt_0004308>	"Pharyngeal muscle cell"	
<http://purl.obolibrary.org/obo/WBbt_0006833>	"Neuron class of two prominent interneurons with cell bodies situated in the lateral ganglia, adjacent to the neuropile of the nerve ring."	
<http://purl.obolibrary.org/obo/WBbt_0008124>		
<http://purl.obolibrary.org/obo/WBbt_0006317>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005278>	"Neuron class of nine ventral cord motor neuron, innervates dorsal muscle."	
<http://purl.obolibrary.org/obo/WBbt_0008477>	"Post-embryonic cell of pedigree Z1.paaaappa."	
<http://purl.obolibrary.org/obo/WBbt_0005264>	"ventral ganglion, posterior part."	
<http://purl.obolibrary.org/obo/WBbt_0001909>	"nucleus of pedigree D"	
<http://purl.obolibrary.org/obo/WBbt_0006844>	"Neuron class of two interneurons with laterally located cell bodies."	
<http://purl.obolibrary.org/obo/WBbt_0005629>		
<http://purl.obolibrary.org/obo/WBbt_0003599>	"nucleus of pedigree Z4.paaapa"	
<http://purl.obolibrary.org/obo/WBbt_0007075>	"post-embryonic cell of pedigree B.ppaa"	
<http://purl.obolibrary.org/obo/WBbt_0007135>	"post-embryonic cell of pedigree F.l"	
<http://purl.obolibrary.org/obo/WBbt_0006316>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004268>	"Anterior daughter cell of V3R.papp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0003155>	"nucleus of pedigree V6L.pppppa"	
<http://purl.obolibrary.org/obo/WBbt_0007862>	"Nucleus which adopts either the developmental fate of pedigree B_alpha or B_beta."	
<http://purl.obolibrary.org/obo/WBbt_0004276>	"Anterior daughter cell of V3L.pap, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0004798>	"Neuron, ciliated ending in head, no supporting cells, associated with ILso"	
<http://purl.obolibrary.org/obo/WBbt_0001080>	"nucleus of pedigree ABalappapap"	
<http://purl.obolibrary.org/obo/WBbt_0005146>		
<http://purl.obolibrary.org/obo/WBbt_0007541>		
<http://purl.obolibrary.org/obo/WBbt_0005279>		
<http://purl.obolibrary.org/obo/WBbt_0005757>	"cells or anatomical parts specific to the male sex"	
<http://purl.obolibrary.org/obo/WBbt_0004566>	"Embryonic cell of pedigree ABaraaappap, interface between pharynx and hypodermis, form anterior part of the buccal cavity."	
<http://purl.obolibrary.org/obo/WBbt_0007638>	"post-embryonic cell of pedigree Z1.ppaaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0005983>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002107>	"nucleus of pedigree ABalapaappaa"	
<http://purl.obolibrary.org/obo/WBbt_0004726>	"Postembryonic seam hypodermal cells, make alae; of pedigree TR.appa."	
<http://purl.obolibrary.org/obo/WBbt_0005850>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006082>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006964>	"male sensory organ, seventh from most anterior, right."	
<http://purl.obolibrary.org/obo/WBbt_0004797>	"Neuron, ciliated ending in head, no supporting cells, associated with ILso"	
<http://purl.obolibrary.org/obo/WBbt_0002918>	"nucleus of pedigree ABplaaaaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0002295>	"nucleus of pedigree MSpaapapa"	
<http://purl.obolibrary.org/obo/WBbt_0003424>	"nucleus of pedigree Z1.ppaappp(5L)"	
<http://purl.obolibrary.org/obo/WBbt_0002705>	"nucleus of pedigree ABplppaaaapp"	
<http://purl.obolibrary.org/obo/WBbt_0003165>	"nucleus of pedigree V6R.pap"	
<http://purl.obolibrary.org/obo/WBbt_0006893>	"descendent cell of P5, posterior"	
<http://purl.obolibrary.org/obo/WBbt_0003041>	"nucleus of pedigree V4L.pappp"	
<http://purl.obolibrary.org/obo/WBbt_0007542>		
<http://purl.obolibrary.org/obo/WBbt_0005145>		
<http://purl.obolibrary.org/obo/WBbt_0007749>	"post-embryonic cell of pedigree Z4.aappp"	
<http://purl.obolibrary.org/obo/WBbt_0005984>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005851>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003719>		
<http://purl.obolibrary.org/obo/WBbt_0005790>	"the space in the center of pharynx which allows the passage of food."	
<http://purl.obolibrary.org/obo/WBbt_0006477>	"Embryonic cell of pedigree ABplaapppp, precursor of embryonic large hypodermal syncytium."	
<http://purl.obolibrary.org/obo/WBbt_0006936>	"Precursor of cells that form male sensory ray 5."	
<http://purl.obolibrary.org/obo/WBbt_0006083>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001565>	"nucleus of pedigree ABprpaapppp"	
<http://purl.obolibrary.org/obo/WBbt_0005738>	"region of the body by which tissues, cells or cell parts are classified"	
<http://purl.obolibrary.org/obo/WBbt_0007697>	"post-embryonic cell of pedigree Z4.aaaap"	
<http://purl.obolibrary.org/obo/WBbt_0006040>	"Embryonic cell of pedigree Capaapp."	
<http://purl.obolibrary.org/obo/WBbt_0003533>	"nucleus of pedigree Z4.apaappaa"	
<http://purl.obolibrary.org/obo/WBbt_0007686>	"Post-embryonic cell of pedigree Z1.ppa, Z1.ppp, Z4.aaa, or Z4.aap."	
<http://purl.obolibrary.org/obo/WBbt_0006308>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001525>	"nucleus of pedigree ABprapapppa"	
<http://purl.obolibrary.org/obo/WBbt_0006758>	"spermathecal-uterine junction of the posterior gonad arm."	
<http://purl.obolibrary.org/obo/WBbt_0007543>	"post-embryonic cell of pedigree V6R.pp"	
<http://purl.obolibrary.org/obo/WBbt_0002744>	"nucleus of pedigree QL.pap"	
<http://purl.obolibrary.org/obo/WBbt_0004523>	"Inner labial sheath"	
<http://purl.obolibrary.org/obo/WBbt_0005029>	"Ring motor neuron/interneuron, many synapses"	
<http://purl.obolibrary.org/obo/WBbt_0007535>	"post-embryonic cell of pedigree V6R.papp"	
<http://purl.obolibrary.org/obo/WBbt_0008302>	"post-embryonic cell of pedigree Z4.aap in hermaphrodite that will follow the 5L configuration of development."	
<http://purl.obolibrary.org/obo/WBbt_0005148>		
<http://purl.obolibrary.org/obo/WBbt_0008442>	"a region of vas deferens, positioned posterior to the valve and anterior to the elongated cell region, formed by cells of cuboidal morphology."	
<http://purl.obolibrary.org/obo/WBbt_0005981>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001246>	"nucleus of pedigree ABarappaap"	
<http://purl.obolibrary.org/obo/WBbt_0006309>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008603>	"An SM lineage cell in a hermaphrodite animal."	
<http://purl.obolibrary.org/obo/WBbt_0004525>	"Inner labial sheath"	
<http://purl.obolibrary.org/obo/WBbt_0003717>		
<http://purl.obolibrary.org/obo/WBbt_0008624>	"AMsoL cell in male formed after AMsoL early cell divides in L4."	
<http://purl.obolibrary.org/obo/WBbt_0001006>	"nucleus of pedigree ABalaaa"	
<http://purl.obolibrary.org/obo/WBbt_0005147>		
<http://purl.obolibrary.org/obo/WBbt_0003516>	"nucleus of pedigree Z4.apaaa"	
<http://purl.obolibrary.org/obo/WBbt_0003939>	"Neuron associated with ALM"	
<http://purl.obolibrary.org/obo/WBbt_0005982>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006081>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008129>		
<http://purl.obolibrary.org/obo/WBbt_0005988>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005855>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001328>	"nucleus of pedigree ABplaaap"	
<http://purl.obolibrary.org/obo/WBbt_0008240>	"linker cell of the pedigree Z4.aaa."	
<http://purl.obolibrary.org/obo/WBbt_0005275>		
<http://purl.obolibrary.org/obo/WBbt_0007099>	"post-embryonic cell of pedigree B_gamma.ar"	
<http://purl.obolibrary.org/obo/WBbt_0004829>	"Cell of male proctodeum, post-embryonic pedigree B_gamma.arv."	
<http://purl.obolibrary.org/obo/WBbt_0002729>	"nucleus of pedigree ABalaaaarrp"	
<http://purl.obolibrary.org/obo/WBbt_0006086>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005854>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001623>	"nucleus of pedigree ABplapaaaapa"	
<http://purl.obolibrary.org/obo/WBbt_0002690>	"nucleus of pedigree TL.apappapa"	
<http://purl.obolibrary.org/obo/WBbt_0004170>	"Anterior spermathecae; cell of pedigree Z4.apaaapv."	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0001672>	"nucleus of pedigree P7.apa"	
<http://purl.obolibrary.org/obo/WBbt_0005142>		
<http://purl.obolibrary.org/obo/WBbt_0008160>	"ut2 of posterior gonad arm."	
<http://purl.obolibrary.org/obo/WBbt_0007558>	"post-embryonic cell of pedigree V6R.ppppaap"	
<http://purl.obolibrary.org/obo/WBbt_0005856>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002222>	"nucleus of pedigree M.vra"	
<http://purl.obolibrary.org/obo/WBbt_0001871>	"nucleus of pedigree Cpppppd"	
<http://purl.obolibrary.org/obo/WBbt_0001085>	"nucleus of pedigree ABalapppap"	
<http://purl.obolibrary.org/obo/WBbt_0006812>	"Neuron class of two interneurons with cell bodies situated in the ventral ganglion."	
<http://purl.obolibrary.org/obo/WBbt_0003308>	"nucleus of pedigree Z1.p"	
<http://purl.obolibrary.org/obo/WBbt_0003883>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0003715>		
<http://purl.obolibrary.org/obo/WBbt_0006757>	"spermathecal-uterine junction of the anterior gonad arm."	
<http://purl.obolibrary.org/obo/WBbt_0003052>	"nucleus of pedigree V4R.pa"	
<http://purl.obolibrary.org/obo/WBbt_0006087>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002550>	"nucleus of pedigree P8.aap"	
<http://purl.obolibrary.org/obo/WBbt_0005141>		
<http://purl.obolibrary.org/obo/WBbt_0001493>	"nucleus of pedigree ABpraapaaa"	
<http://purl.obolibrary.org/obo/WBbt_0008494>	"Post-embryonic cell of pedigree V6R.papa in male."	
<http://purl.obolibrary.org/obo/WBbt_0008181>	"posterior ut4 cell whose nuclei followed the 5R lineage configuration during development."	
<http://purl.obolibrary.org/obo/WBbt_0007496>	"post-embryonic cell of pedigree V6L.papppap"	
<http://purl.obolibrary.org/obo/WBbt_0002502>	"nucleus of pedigree P5.papa"	
<http://purl.obolibrary.org/obo/WBbt_0002021>	"nucleus of pedigree F.rvda"	
<http://purl.obolibrary.org/obo/WBbt_0005144>		
<http://purl.obolibrary.org/obo/WBbt_0005768>	"spatial axis"	
<http://purl.obolibrary.org/obo/WBbt_0001196>	"nucleus of pedigree ABaraaapap"	
<http://purl.obolibrary.org/obo/WBbt_0004060>	"Ventral uterus; cell of pedigree Z1.ppaapaa (5L), a precursor of posterior ut4."	
<http://purl.obolibrary.org/obo/WBbt_0005277>		
<http://purl.obolibrary.org/obo/WBbt_0002238>	"nucleus of pedigree M.vrpaapap"	
<http://purl.obolibrary.org/obo/WBbt_0003978>		
<http://purl.obolibrary.org/obo/WBbt_0005852>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004604>	"Anterior daughter cell of V1R.ppp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0001499>	"nucleus of pedigree ABpraapappp"	
<http://purl.obolibrary.org/obo/WBbt_0003198>	"nucleus of pedigree V6R.ppppaap"	
<http://purl.obolibrary.org/obo/WBbt_0005985>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003057>	"nucleus of pedigree V4R.pappa"	
<http://purl.obolibrary.org/obo/WBbt_0003071>	"nucleus of pedigree V5L.paap"	
<http://purl.obolibrary.org/obo/WBbt_0005987>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001191>	"nucleus of pedigree ABaraaaapaa"	
<http://purl.obolibrary.org/obo/WBbt_0002349>	"nucleus of pedigree MSapapaa"	
<http://purl.obolibrary.org/obo/WBbt_0007557>	"post-embryonic cell of pedigree V6R.ppppaaap"	
<http://purl.obolibrary.org/obo/WBbt_0005276>		
<http://purl.obolibrary.org/obo/WBbt_0005143>		
<http://purl.obolibrary.org/obo/WBbt_0001883>	"nucleus of pedigree MSapapaaa"	
<http://purl.obolibrary.org/obo/WBbt_0003979>		
<http://purl.obolibrary.org/obo/WBbt_0006884>	"descendent cell of P8, anterior"	
<http://purl.obolibrary.org/obo/WBbt_0005853>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008202>	"cell of vas deferens of male gonad."	
<http://purl.obolibrary.org/obo/WBbt_0003394>	"nucleus of pedigree Z1.pappap"	
<http://purl.obolibrary.org/obo/WBbt_0005859>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002393>	"nucleus of pedigree MSpapapap"	
<http://purl.obolibrary.org/obo/WBbt_0003887>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0003365>		
<http://purl.obolibrary.org/obo/WBbt_0002371>	"nucleus of pedigree MSpaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0004845>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0006435>	"Embryonic cell of pedigree Daapp."	
<http://purl.obolibrary.org/obo/WBbt_0003733>	"the first, anterior bulb of the pharynx."	
<http://purl.obolibrary.org/obo/WBbt_0006985>	"cell, anterior daughter of B cell in male"	
<http://purl.obolibrary.org/obo/WBbt_0007906>	"nucleus of pedigree TR.apapa"	
<http://purl.obolibrary.org/obo/WBbt_0001779>	"nucleus of pedigree B_gamma.arv"	
<http://purl.obolibrary.org/obo/WBbt_0006195>	"Embryonic cell of pedigree MSaapppaa."	
<http://purl.obolibrary.org/obo/WBbt_0008034>	"nucleus of hyp9 cell."	
<http://purl.obolibrary.org/obo/WBbt_0004695>		
<http://purl.obolibrary.org/obo/WBbt_0001151>	"nucleus of pedigree ABalppappa"	
<http://purl.obolibrary.org/obo/WBbt_0003366>		
<http://purl.obolibrary.org/obo/WBbt_0001943>	"nucleus of pedigree Dpppaa"	
<http://purl.obolibrary.org/obo/WBbt_0004846>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0003088>	"nucleus of pedigree V5L.pppppap"	
<http://purl.obolibrary.org/obo/WBbt_0001481>	"nucleus of pedigree ABpraaapapa"	
<http://purl.obolibrary.org/obo/WBbt_0007636>	"post-embryonic cell of pedigree Z1.ppaaa[p/r]p"	
<http://purl.obolibrary.org/obo/WBbt_0006796>	"a cell, of either sex, directly concerned in the production of a new organism."	
<http://purl.obolibrary.org/obo/WBbt_0007752>	"post-embryonic cell of pedigree Z4.aappp[a/l]p"	
<http://purl.obolibrary.org/obo/WBbt_0003001>	"nucleus of pedigree V3L.pa"	
<http://purl.obolibrary.org/obo/WBbt_0002540>	"nucleus of pedigree P7.pp"	
<http://purl.obolibrary.org/obo/WBbt_0001526>	"nucleus of pedigree ABprapapppp"	
<http://purl.obolibrary.org/obo/WBbt_0005857>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003734>	"a section of pharynx of which muscles contract with a peristaltic motion."	
<http://purl.obolibrary.org/obo/WBbt_0004767>	"Postembryonic seam hypodermal cells, make alae; of pedigree V1R.pappp."	
<http://purl.obolibrary.org/obo/WBbt_0004385>	"Neuron class of one motor neuron, process in dorsal cord, cell body in pre-anal ganglion."	
<http://purl.obolibrary.org/obo/WBbt_0003884>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0004891>	"Male specific motor neuron in ventral cord"	
<http://purl.obolibrary.org/obo/WBbt_0001885>	"nucleus of pedigree MSapapaap"	
<http://purl.obolibrary.org/obo/WBbt_0006088>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006406>	"Embryonic cell of pedigree Cappapp."	
<http://purl.obolibrary.org/obo/WBbt_0007297>	"post-embryonic cell of pedigree SM1L.ppp"	
<http://purl.obolibrary.org/obo/WBbt_0004037>	"Post-embryonic cell of pedigree V6R.papapapp, male sensory rays, structural cell."	
<http://purl.obolibrary.org/obo/WBbt_0008607>	"Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1."	
<http://purl.obolibrary.org/obo/WBbt_0003548>	"nucleus of pedigree Z4.apapapa"	
<http://purl.obolibrary.org/obo/WBbt_0007237>	"post-embryonic cell of pedigree P2.aaa"	
<http://purl.obolibrary.org/obo/WBbt_0007591>	"post-embryonic cell of pedigree Z1.apppap"	
<http://purl.obolibrary.org/obo/WBbt_0003497>		
<http://purl.obolibrary.org/obo/WBbt_0003886>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0006999>	"cell, which is the anterior descendent of TL.aa."	
<http://purl.obolibrary.org/obo/WBbt_0007676>	"post-embryonic cell of pedigree Z1.ppppa"	
<http://purl.obolibrary.org/obo/WBbt_0005761>		
<http://purl.obolibrary.org/obo/WBbt_0001280>	"nucleus of pedigree ABarpapa"	
<http://purl.obolibrary.org/obo/WBbt_0007694>	"Post-embryonic cell of pedigree Z4.aaaaap."	
<http://purl.obolibrary.org/obo/WBbt_0003278>	"nucleus of pedigree Y.prppv"	
<http://purl.obolibrary.org/obo/WBbt_0003885>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0008605>	"Hermaphrodite-specific blast cell which divides to product muscle cell."	
<http://purl.obolibrary.org/obo/WBbt_0006089>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004696>		
<http://purl.obolibrary.org/obo/WBbt_0008402>	"Neuron class of two male-specific sensory ray neurons type B of ray six."	
<http://purl.obolibrary.org/obo/WBbt_0004245>	"Anterior daughter cell of V5R.pp, fuses into postembryonic large hypodermal syncytium hyp7"	
<http://purl.obolibrary.org/obo/WBbt_0004247>	"Anterior daughter cell of V5Lpppp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0001476>	"nucleus of pedigree ABpraaap"	
<http://purl.obolibrary.org/obo/WBbt_0001007>	"nucleus of pedigree ABalaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0004691>		
<http://purl.obolibrary.org/obo/WBbt_0004790>	"Male sensory ray 8 hypodermal cell, fuses with hypodermal syncytium"	
<http://purl.obolibrary.org/obo/WBbt_0004840>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0008156>	"Postembryonic seam hypodermal cells, make alae, found in both male and hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0002522>	"nucleus of pedigree P6.pp"	
<http://purl.obolibrary.org/obo/WBbt_0007053>	"post-embryonic cell of pedigree B.alappd"	
<http://purl.obolibrary.org/obo/WBbt_0007096>	"post-embryonic cell of pedigree B_gamma.al"	
<http://purl.obolibrary.org/obo/WBbt_0001566>	"nucleus of pedigree ABprpaappppp"	
<http://purl.obolibrary.org/obo/WBbt_0001503>	"nucleus of pedigree ABpraappaa"	
<http://purl.obolibrary.org/obo/WBbt_0004527>	"Inner labial sheath"	
<http://purl.obolibrary.org/obo/WBbt_0008301>	"post-embryonic cell of pedigree Z4.aaa in hermaphrodite that will follow the 5R configuration of development."	
<http://purl.obolibrary.org/obo/WBbt_0003184>	"nucleus of pedigree V6R.ppp"	
<http://purl.obolibrary.org/obo/WBbt_0003937>	"Neuron associated with ALM"	
<http://purl.obolibrary.org/obo/WBbt_0001105>	"nucleus of pedigree ABalpaaappa"	
<http://purl.obolibrary.org/obo/WBbt_0004841>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0005149>		
<http://purl.obolibrary.org/obo/WBbt_0004640>	"Anterior daughter cell of H2L.pp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0003427>	"nucleus of pedigree Z1.ppapaa(5L)"	
<http://purl.obolibrary.org/obo/WBbt_0001830>	"nucleus of pedigree Cpaaa"	
<http://purl.obolibrary.org/obo/WBbt_0002441>	"nucleus of pedigree ABalppppapaa"	
<http://purl.obolibrary.org/obo/WBbt_0007650>	"post-embryonic cell of pedigree Z1.ppaapp[a/v] (5R), a precursor of anterior ut2 syncytium."	
<http://purl.obolibrary.org/obo/WBbt_0004963>	"Sensory neuron of copulatory spicle in male, cilliated, open to outside at tip of spicule, of pedigree B_beta.rda."	
<http://purl.obolibrary.org/obo/WBbt_0007527>	"post-embryonic cell of pedigree V6R.papap"	
<http://purl.obolibrary.org/obo/WBbt_0007766>	"post-embryonic cell of pedigree Z4.apaappp"	
<http://purl.obolibrary.org/obo/WBbt_0004843>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0008085>	"nucleus of pedigree V5R.pppa in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0003889>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0003487>	"nucleus of pedigree Z4.aap[a/l]ad(5R)"	
<http://purl.obolibrary.org/obo/WBbt_0007443>	"post-embryonic cell of pedigree V4R.pp"	
<http://purl.obolibrary.org/obo/WBbt_0002313>	"nucleus of pedigree MSaaap"	
<http://purl.obolibrary.org/obo/WBbt_0001569>	"nucleus of pedigree ABprpapaa"	
<http://purl.obolibrary.org/obo/WBbt_0001043>	"nucleus of pedigree ABalaapppa"	
<http://purl.obolibrary.org/obo/WBbt_0002315>	"nucleus of pedigree MSaaapaa"	
<http://purl.obolibrary.org/obo/WBbt_0004842>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0001070>	"nucleus of pedigree ABalapappaap"	
<http://purl.obolibrary.org/obo/WBbt_0004693>		
<http://purl.obolibrary.org/obo/WBbt_0002113>	"nucleus of pedigree ABalapaappp"	
<http://purl.obolibrary.org/obo/WBbt_0007690>	"post-embryonic cell of pedigree Z4.aaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0002863>	"nucleus of pedigree TL.apapp"	
<http://purl.obolibrary.org/obo/WBbt_0004113>	"Dorsal uterus; cell of pedigree Z1.papappap."	
<http://purl.obolibrary.org/obo/WBbt_0002157>	"nucleus of pedigree E.prapa"	
<http://purl.obolibrary.org/obo/WBbt_0002146>	"nucleus of pedigree E.plaap"	
<http://purl.obolibrary.org/obo/WBbt_0006864>	"one of a pair of cells, situates at the distal tip of the male gonad."	
<http://purl.obolibrary.org/obo/WBbt_0004844>	"Ventral cord motor neurons, innervate dorsal muscles"	
<http://purl.obolibrary.org/obo/WBbt_0004529>	"Inner labial sheath"	
<http://purl.obolibrary.org/obo/WBbt_0003493>		
<http://purl.obolibrary.org/obo/WBbt_0007511>	"post-embryonic cell of pedigree V6L.ppppaaa"	
<http://purl.obolibrary.org/obo/WBbt_0007249>	"post-embryonic cell of pedigree P5.aa"	
<http://purl.obolibrary.org/obo/WBbt_0005797>	"cell that forms intestinal-rectal valve."	
<http://purl.obolibrary.org/obo/WBbt_0007548>		
<http://purl.obolibrary.org/obo/WBbt_0001265>	"nucleus of pedigree ABarpaaa"	
<http://purl.obolibrary.org/obo/WBbt_0002392>	"nucleus of pedigree MSpapapa"	
<http://purl.obolibrary.org/obo/WBbt_0001893>	"nucleus of pedigree ABplpaaapap"	
<http://purl.obolibrary.org/obo/WBbt_0001740>	"nucleus of pedigree B.arapap"	
<http://purl.obolibrary.org/obo/WBbt_0006213>	"Embryonic cell of pedigree Capaaap."	
<http://purl.obolibrary.org/obo/WBbt_0003081>	"nucleus of pedigree V5L.pppapp"	
<http://purl.obolibrary.org/obo/WBbt_0007438>	"post-embryonic cell of pedigree V4L.pppp"	
<http://purl.obolibrary.org/obo/WBbt_0002279>	"nucleus of pedigree MSaapaaap"	
<http://purl.obolibrary.org/obo/WBbt_0004932>	"Neuron, presynaptic in ring, ending in head"	
<http://purl.obolibrary.org/obo/WBbt_0002570>	"nucleus of pedigree P10.paap"	
<http://purl.obolibrary.org/obo/WBbt_0007946>		
<http://purl.obolibrary.org/obo/WBbt_0005418>		
<http://purl.obolibrary.org/obo/WBbt_0003894>		
<http://purl.obolibrary.org/obo/WBbt_0004887>	"Male specific interneuron, project into preanal ganglion"	
<http://purl.obolibrary.org/obo/WBbt_0007133>	"post-embryonic cell of pedigree E.prpppa"	
<http://purl.obolibrary.org/obo/WBbt_0006038>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002989>	"nucleus of pedigree V2R.pappa"	
<http://purl.obolibrary.org/obo/WBbt_0008305>	"post-embryonic cell of pedigree Z1.ppp in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0001114>	"nucleus of pedigree ABalpapa"	
<http://purl.obolibrary.org/obo/WBbt_0008471>	"Post-embryonic hermaphrodite cell of pedigree Z1.pappa."	
<http://purl.obolibrary.org/obo/WBbt_0006986>	"cell, posterior daughter of B cell in male"	
<http://purl.obolibrary.org/obo/WBbt_0007947>		
<http://purl.obolibrary.org/obo/WBbt_0003772>	"Ventral uterus; cell of pedigree Z4.aapaad (5L), utse precursor."	
<http://purl.obolibrary.org/obo/WBbt_0005417>		
<http://purl.obolibrary.org/obo/WBbt_0003895>		
